Disco,Artista,Ano,Capa,Spotify,YouTubeMusic,Tipo
Le Tigre,Le Tigre,1999,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/7a/13/3a/7a133a41-9084-9384-fd35-132ea3f77083/886448210030.jpg/600x600bb.jpg,https://open.spotify.com/search/Le%20Tigre%20Le%20Tigre,https://music.youtube.com/playlist?list=OLAK5uy_mdEJzQGEQ5cQHLuwD4gUGvPMDJrSTYRPs,disco
A Thousand Suns,Linkin Park,2010,https://yt3.googleusercontent.com/lijlrFj65toZ4hDg7D-rhVL06W3_vSXhOxmWBrJjLqN8PfrM6mBBjckM3YNGB6TY7GestPevfOAciPP_ww=w544-h544-l90-rj,https://open.spotify.com/search/Linkin%20Park%20A%20Thousand%20Suns,https://music.youtube.com/playlist?list=OLAK5uy_krvx3FeVGumNUfYCsbaL0ikF--a7KJ55U,disco
From Zero,Linkin Park,2024,https://yt3.googleusercontent.com/R-yqivSHsR8ZWpKMy2vplo6LEK-c0XVA7SzRRHR0eUYa-Gazo1VnbVnmN1ifymUOuCmW5yxjFlNv-rBv=w544-h544-l90-rj,https://open.spotify.com/search/Linkin%20Park%20From%20Zero,https://music.youtube.com/playlist?list=OLAK5uy_miCUHAHUPqc21dc-Vs7KTxbbqqzFCl68c,disco
Hybrid Theory,Linkin Park,2000,https://yt3.googleusercontent.com/lkNJVMp3siDfSw_zVYj3tE6fQS7G6Gj2gzoxrIwS7K4TwqmL_uSBb9-PKACNLIP_7XLQib4tC5XwWbpD=w544-h544-l90-rj,https://open.spotify.com/search/Linkin%20Park%20Hybrid%20Theory,https://music.youtube.com/playlist?list=OLAK5uy_ncbxWnjKunOOgJ7N1XELrneNgiaMMPXxA,disco
Live in Texas,Linkin Park,2003,https://yt3.googleusercontent.com/WfwFop4Yw8BrmgpxBxIf0t84QmYIRnhUOO_U1QBAABsTCgpLlTK5VgnepngGQNAO6DzArw-boq1pPFHQxQ=w544-h544-l90-rj,https://open.spotify.com/search/Linkin%20Park%20Live%20in%20Texas,https://music.youtube.com/playlist?list=OLAK5uy_m0pvsZbcoyFZ4vqU7Q-umldSOtzyTfads,disco
LIVING THINGS,Linkin Park,2012,https://yt3.googleusercontent.com/ldVVO7vktLrUuW13A3oCdDlgrxfTQxmIyyMwAxef5W07pkRxdbgu3GLV8BaIZkW_RDR7qxd9utQy7Wqj=w544-h544-l90-rj,https://open.spotify.com/search/Linkin%20Park%20LIVING%20THINGS,https://music.youtube.com/playlist?list=OLAK5uy_lfNmExJs6xV-8ApZL4zicCfFVzfv-w8cI,disco
Meteora,Linkin Park,2003,https://yt3.googleusercontent.com/dNfpEZtqYYsrHaHpSE9ik5vGgUSVLKE5DycRz8VMLdIQV_GYz7GpGUkMnU9I0926zLRQEAIUwdsjYCuG=w544-h544-l90-rj,https://open.spotify.com/search/Linkin%20Park%20Meteora,https://music.youtube.com/playlist?list=OLAK5uy_nE-SkwNA6lYF99wd-MHzJVqThnUIJGe3I,disco
Minutes to Midnight,Linkin Park,2007,https://yt3.googleusercontent.com/BtAKhqmTBoZWEQPlcF9tgpqILWNkQ4vc0tk0nlSrIpdvhW9sf9K-tQDoym1zh9Svl-8PnpFCY_6vNYg7=w544-h544-l90-rj,https://open.spotify.com/search/Linkin%20Park%20Minutes%20to%20Midnight,https://music.youtube.com/playlist?list=OLAK5uy_nIS-c5OD2p7LJU3n8S_tcu6q2QzBe-vzM,disco
Reanimation,Linkin Park,2004,https://yt3.googleusercontent.com/717Q8O0m2zR2rWVNeNxiW7iWbOulNxc12-vYpCJ9qC_3BCJ9pD5OOn0RDi_VjlsX5itds3zUCQWx3GQ=w544-h544-s-l90-rj,https://open.spotify.com/search/Linkin%20Park%20Reanimation,https://music.youtube.com/playlist?list=OLAK5uy_mP-H4I3LyNaialVd14zCvsku58yEiXxKM,disco
The Hunting Party,Linkin Park,2014,https://yt3.googleusercontent.com/yocfhS46IAanogpQV-Muvi6MlD7mXIEwAP9-PcD-r9pP3MoZY1NYVp37Okc2EmuSXgQniitNQVr3g9hF=w544-h544-l90-rj,https://open.spotify.com/search/Linkin%20Park%20The%20Hunting%20Party,https://music.youtube.com/playlist?list=OLAK5uy_kDBTPFjTRerD0gAG3g4Xs3UxGQSzZBoZQ,disco
O Rítmo do Momento,Lulu Santos,1996,https://is1-ssl.mzstatic.com/image/thumb/Music/4a/38/f9/mzi.nmmivjdi.jpg/600x600bb.jpg,https://open.spotify.com/search/Lulu%20Santos%20O%20R%C3%ADtmo%20do%20Momento,https://music.youtube.com/search?q=Lulu%20Santos%20O%20R%C3%ADtmo%20do%20Momento,disco
Confessions On a Dance Floor,Madonna,2005,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/24/5a/e8/245ae865-c767-310b-c8ee-6b3a05e43fd4/dj.hgvybcjz.jpg/600x600bb.jpg,https://open.spotify.com/search/Madonna%20Confessions%20On%20a%20Dance%20Floor,https://music.youtube.com/search?q=Madonna%20Confessions%20On%20a%20Dance%20Floor,disco
Maria Rita,Maria Rita,2003,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/18/d7/b9/18d7b972-fd34-c59e-c2cf-00a452eda63c/s06.jbinevhn.jpg/600x600bb.jpg,https://open.spotify.com/search/Maria%20Rita%20Maria%20Rita,https://music.youtube.com/search?q=Maria%20Rita%20Maria%20Rita,disco
"Memórias, Crônicas & Declarações De Amor",Marisa Monte,2000,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/71/f2/f5/71f2f501-0941-b439-1e55-d956a7cc6e43/195081556666.jpg/600x600bb.jpg,https://open.spotify.com/search/Marisa%20Monte%20Mem%C3%B3rias%2C%20Cr%C3%B4nicas%20%26%20Declara%C3%A7%C3%B5es%20De%20Amor,https://music.youtube.com/search?q=Marisa%20Monte%20Mem%C3%B3rias%2C%20Cr%C3%B4nicas%20%26%20Declara%C3%A7%C3%B5es%20De%20Amor,disco
Gates Of Metal Fried Chicken Of Death,Massacration,2005,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/e1/3b/00/e13b008f-c0de-e3db-2717-08fbbd5a82dc/7898324301933.jpg/600x600bb.jpg,https://open.spotify.com/search/Massacration%20Gates%20Of%20Metal%20Fried%20Chicken%20Of%20Death,https://music.youtube.com/search?q=Massacration%20Gates%20Of%20Metal%20Fried%20Chicken%20Of%20Death,disco
Geraes,Milton Nascimento,1976,https://yt3.googleusercontent.com/wBnli8LbnVQiOzg3iK9fbMNRL0WplM2I-3S3dW9cSpkqgxOUcpfNxn5_qq_FsXiowT7QJqPrMd-2Jok=w544-h544-l90-rj,https://open.spotify.com/search/Milton%20Nascimento%20Geraes,https://music.youtube.com/playlist?list=OLAK5uy_n2abG7i6X6klBp9ExMW7OiZdvjUrX3F4A,disco
12 de Janeiro,Nando Reis,1995,https://is1-ssl.mzstatic.com/image/thumb/Music/fc/1d/78/mzi.jcaelfqv.jpg/600x600bb.jpg,https://open.spotify.com/search/Nando%20Reis%2012%20de%20Janeiro,https://music.youtube.com/search?q=Nando%20Reis%2012%20de%20Janeiro,disco
A Letra A,Nando Reis,2003,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/b4/72/54/b4725400-02a1-8779-8fba-77c0c01a479b/06UMGIM62150.rgb.jpg/600x600bb.jpg,https://open.spotify.com/search/Nando%20Reis%20A%20Letra%20A,https://music.youtube.com/search?q=Nando%20Reis%20A%20Letra%20A,disco
Luau MTV: Nando Reis & Os Infernais,Nando Reis & Os Infernais,2007,https://yt3.googleusercontent.com/NPKC8J8cc7ZXIaT6Uj96gjD3gXp603OZpRLvH7R9THP6VNkY-BVo5j07pGOvzbn9LJx_6GSqOcz28O70=w544-h544-l90-rj,https://open.spotify.com/search/Nando%20Reis%20%26%20Os%20Infernais%20Luau%20MTV%3A%20Nando%20Reis%20%26%20Os%20Infernais,https://music.youtube.com/playlist?list=OLAK5uy_mJDPYEyccTl0y8Jjt4W4ocEqnWbiZ6h-8,disco
